playerId,name,email,teamId,sportId,leagueId
1,Matthew Hernandez,williampreston@example.net,1,0,6
2,William Miller,james72@example.net,1,0,6
3,Jeff Carter,michael53@example.com,None,0,6
4,Ronald Cook,lorettatanner@example.org,1,0,6
5,Michael Watkins,andrew45@example.com,1,0,6
6,Joshua Morris,jwheeler@example.org,None,0,6
7,Ronald Silva,csmith@example.net,1,0,6
8,Donald Mills,nelsondavid@example.net,1,0,6
9,Connor Nolan,shahmichelle@example.net,2,0,6
10,David Peterson,staceysmith@example.org,2,0,6
11,Michael Finley,marie57@example.org,2,0,6
12,Christian Pham,raymondpayne@example.net,2,0,6
13,Sean Thompson,jeremy86@example.com,None,0,6
14,Patrick Lynn,murphyandrew@example.org,2,0,6
15,Vincent Phillips,nathanmontgomery@example.org,3,0,6
16,William Brown,ocross@example.net,3,0,6
17,David Green,kenneth52@example.com,3,0,6
18,Thomas Bates,jenniferholmes@example.net,3,0,6
19,Corey Rivas,scotttina@example.net,3,0,6
20,James Lopez,lowejennifer@example.com,3,0,6
21,Richard Bullock,cervantesjohn@example.net,3,0,6
22,Matthew Logan,xsanders@example.net,None,0,6
23,Craig Mayo,yrivera@example.com,3,0,6
24,David Morales,kevin17@example.net,None,0,6
25,Shane Silva,kimberlyroberson@example.net,None,0,6
26,Ricardo Lyons,qfleming@example.org,4,0,6
27,Shane Pierce,omiller@example.net,4,0,6
28,Cody Williams,hollandkaren@example.com,4,0,6
29,Christopher Johnson,newtonolivia@example.com,None,0,6
30,Michael King,hgalvan@example.com,4,0,6
31,Travis Benson,longmichelle@example.org,4,0,6
32,Jason Blanchard,fgibson@example.com,4,0,6
33,William Wade,apayne@example.org,4,0,6
34,Eric Allen,gmanning@example.org,5,0,6
35,Thomas Guerra,matthew51@example.com,None,0,6
36,Richard Sanchez,donald01@example.org,5,0,6
37,Joseph Chung,willismarc@example.com,5,0,6
38,Christopher Weaver,renee52@example.net,5,0,6
39,Stephen Gonzalez,ssoto@example.org,5,0,6
40,Christopher Barnett,epayne@example.org,5,0,6
41,Cody Schroeder,jefftanner@example.com,5,0,6
42,Steven Massey,martinezkeith@example.org,6,0,6
43,Joseph Harper,samantha33@example.net,6,0,6
44,David Taylor,tanyawood@example.com,6,0,6
45,James Farrell,ibarron@example.com,6,0,6
46,John Davis,ptate@example.net,None,0,6
47,Jose Huang,cruzmark@example.net,6,0,6
48,Michael Henry,ericwest@example.org,7,0,6
49,David Greene,schmidthaley@example.org,7,0,6
50,Matthew Williams,juarezrichard@example.com,7,0,6
51,Anthony Maynard,amyowens@example.org,7,0,6
52,Victor Randall,robertjohnson@example.org,7,0,6
53,Gregory Webb,uperry@example.com,7,0,6
54,Daniel Santiago,cameron95@example.com,7,0,6
55,Darren Petersen,reynoldsdouglas@example.org,7,0,6
56,Thomas Patton,kaylastephens@example.com,7,0,6
57,Randy Smith,jack99@example.com,8,0,6
58,Christian Jones,davidsandoval@example.net,8,0,6
59,Shaun Ruiz,parkermary@example.net,8,0,6
60,Randy Smith,oconnorjames@example.org,8,0,6
61,James Brooks,kevin37@example.org,8,0,6
62,John Robinson,jnewman@example.net,9,0,6
63,Troy Williams,johnsmith@example.org,9,0,6
64,William Walker,kevinlee@example.net,9,0,6
65,Mark Tucker,jennifer90@example.net,9,0,6
66,Randy Stephens,wayne05@example.org,9,0,6
67,Todd Ward,john24@example.com,10,0,6
68,James Morris,rjones@example.org,10,0,6
69,Joseph Austin,mortoncharlene@example.com,10,0,6
70,Steven Frederick,cartermelissa@example.net,10,0,6
71,William Obrien,jennifer69@example.net,10,0,6
72,Jamie Dudley,sueespinoza@example.net,11,0,6
73,Andrew Green,xmoore@example.net,None,0,6
74,Robert Figueroa,matthew61@example.net,11,0,6
75,Hector Franco,christopherlara@example.org,11,0,6
76,Tony Meyer,nicholas76@example.net,None,0,6
77,Steven Brown,davisphillip@example.net,11,0,6
78,James Clarke,justinkey@example.com,11,0,6
79,Colton Nguyen,alexislozano@example.com,12,0,6
80,Jason Rich,shelly08@example.org,None,0,6
81,Travis Dunlap,veronicablack@example.org,12,0,6
82,David Rocha,ldiaz@example.net,12,0,6
83,Casey Fernandez,alexandra20@example.net,12,0,6
84,Robert Shaffer,patricia03@example.net,12,0,6
85,Dustin Hall,leslie86@example.com,12,0,6
86,Benjamin Griffin,denisevillarreal@example.com,13,0,6
87,Richard Stewart,dale69@example.org,13,0,6
88,Terry Newman,grantashlee@example.org,13,0,6
89,David Foley,vbrown@example.com,None,0,6
90,Jamie Evans,vperez@example.net,13,0,6
91,Mark Gordon,lmontoya@example.com,None,0,6
92,Terry Morse,michaeltrujillo@example.com,13,0,6
93,Robert Wells,romeromichael@example.com,13,0,6
94,Randy Miller,vmiddleton@example.com,13,0,6
95,Christopher Coleman,rchen@example.org,14,0,6
96,Dalton Coleman,davidcox@example.org,14,0,6
97,Jim Macdonald,tmelendez@example.com,14,0,6
98,Kevin Calhoun,hmercado@example.org,14,0,6
99,Mark Barber,christopherwest@example.net,14,0,6
100,Thomas Wilson,ballrobert@example.net,14,0,6
101,Raymond Haley,morrisderrick@example.net,None,0,6
102,Jonathan Robinson,grahamemily@example.org,14,0,6
103,Robert Turner,fletchercody@example.net,14,0,6
104,Timothy Obrien,oconnoramanda@example.com,None,0,6
105,Christopher Blankenship,xvazquez@example.org,15,0,6
106,Thomas Fletcher,tonyasantos@example.org,15,0,6
107,Timothy Johnson,friley@example.com,None,0,6
108,Robert Mccoy,wileykayla@example.net,15,0,6
109,Omar Cabrera,patricia00@example.org,15,0,6
110,James Shaffer,alan82@example.com,15,0,6
111,Colin Martinez,oholt@example.com,15,0,6
112,Jimmy Bennett,matthewwilcox@example.net,16,0,6
113,David Taylor,barrettjonathan@example.net,16,0,6
114,Wayne Merritt,elizabethgonzalez@example.org,16,0,6
115,David Robinson,clementsnicole@example.org,16,0,6
116,Michael Butler,bucknicholas@example.net,16,0,6
117,Thomas Miller,jaredbutler@example.net,16,0,6
118,Jonathan Jones,andrewmcintosh@example.com,17,0,5
119,Jonathan Hernandez,victoria99@example.org,17,0,5
120,Joe Lopez,heatherking@example.com,17,0,5
121,Joshua Flores,cgordon@example.com,17,0,5
122,Justin Bernard,fcarrillo@example.org,None,0,5
123,Larry Ramirez,danaramirez@example.com,17,0,5
124,Curtis Graham,wwhite@example.org,None,0,5
125,Joseph Moon,bridget22@example.com,None,0,5
126,Jeffrey Mitchell,danielyoung@example.net,18,0,5
127,Andrew Rivera,haleyhansen@example.com,None,0,5
128,Adam Terry,meredithwilliams@example.net,18,0,5
129,Martin Yates,emily78@example.net,None,0,5
130,Christopher Parsons,seanjackson@example.net,18,0,5
131,William Miller,dawn17@example.com,18,0,5
132,John Fletcher,gary11@example.org,18,0,5
133,Gregory Spears,esaunders@example.com,19,0,5
134,Richard Flowers,jason48@example.com,19,0,5
135,Gregory Green,devinmills@example.com,19,0,5
136,Shawn Gillespie,brendaobrien@example.com,19,0,5
137,Daniel Hughes,hcarroll@example.net,19,0,5
138,Brandon Richardson,melissa35@example.net,None,0,5
139,Ronald Baker,ievans@example.org,20,0,5
140,Neil Gonzalez,elizabeth33@example.com,None,0,5
141,Daniel Jenkins,maria74@example.com,20,0,5
142,Anthony Pierce,davidwest@example.org,None,0,5
143,Joshua Romero,dickersonbryan@example.org,20,0,5
144,Tyler Decker,andre26@example.org,20,0,5
145,Scott Harper,ntrujillo@example.org,None,0,5
146,Christopher Hall,hoffmanjacqueline@example.com,20,0,5
147,Ryan Marsh,williamstafford@example.com,None,0,5
148,Justin Meyer,jacobsbrian@example.com,None,0,5
149,Joseph Johnson,nparsons@example.org,21,0,5
150,Wayne Bonilla,ahanson@example.org,None,0,5
